,acc_nbr,tearly,tmid,tlate,cearly,cmid,clate
2464,972B385519F39105BF3F0E3DF042C627,232.31322,0.14897,0.0,6.3,2.5,0.0
2465,972D3123660B2064677ACC787ED694BF,109.92223000000001,0.0,0.0,4.7,0.0,0.0
2466,975649038D6AB343D51A36891BEB1838,512.4141999999999,0.0,0.0,32.4,0.0,0.0
2467,97593FDB8CF6808412E178A38BC803F4,674.79551,208.0399,0.0,32.5,7.9,0.0
2468,97613A0A186E14994AC7FF6F8F9F8A1B,343.312,0.0,0.0,78.7,0.0,0.0
2469,97A179B898B100C4D4BD8B610E1943EE,0.060899999999999996,0.0,0.0,0.2,0.0,0.0
2470,97D498BBDD8720287F6A91EEF5C09FCC,339.97936,0.0,0.0,34.8,0.0,0.0
2471,97E270A2DCC84F363EE0940EE9C052F3,15.90104,0.0,0.0,0.7,0.0,0.0
2472,97E45F90A10191A7AEC5D2DFB19A49CE,0.84946,0.0,0.0,0.8,0.0,0.0
2473,97F8A0A61F50C2B4D6DD4B1DBDDD855F,10.13944,0.0,0.0,0.9,0.0,0.0
2474,980FE8EBD0A2AC139266E4CD26CBB33F,0.3221,0.0,0.0,0.4,0.0,0.0
2475,981E28D071A606999DA04BBFC368BCD9,93.15244000000001,0.0,0.0,22.2,0.0,0.0
2476,9822E9182A2EB2CDF40A558A9A4A9E4C,1017.2563199999998,455.50702,271.30541999999997,41.9,32.0,21.0
2477,984505AD6BFDAF89DA2BF3A3A57229EB,85.57412,0.0,0.0,15.6,0.0,0.0
2478,9845D412D41F1956E7F9E921948EAD11,24.366329999999998,0.0,0.0,3.1,0.0,0.0
2479,98513447E04A7A8CFD6B347FC0914D25,0.00139,0.0,0.0,0.1,0.0,0.0
2480,98851D87E18B4C5663366CED9428C6D8,363.23852999999997,0.0,0.0,11.6,0.0,0.0
2481,989515AB85B944F33A29CD3E9D8A8B09,619.61318,0.0,0.0,47.9,0.0,0.0
2482,98ACC952DDBF263DC90E0386967927B7,190.35249,0.0,0.0,12.1,0.0,0.0
2483,98B5C47CCB23B1CCB078C03406A8739E,777.1067499999999,0.0,0.0,12.6,0.0,0.0
2484,98BF49D0273884443B6FE86323A5566A,247.59739999999996,0.0,0.0,3.7,0.0,0.0
2485,98C4D09F602F177CF3D8467A989FA7C3,5.37514,0.0,0.0,2.1,0.0,0.0
2486,98CA96D7D5996A1CF7F4B700F7BC6ED2,149.04073,0.0,0.0,4.6,0.0,0.0
2487,98CC0B73D07856937746C1311B8F7E6B,1.73903,0.0,0.0,0.4,0.0,0.0
2488,98DA8B56FB8BCDD28577081A7DD7E22F,89.50955,0.0,0.0,10.7,0.0,0.0
2489,98F37218B0F90A4D2575DB4F924B8CD2,160.5864,0.0,0.0,3.0,0.0,0.0
2490,990C74A121F4A3040F227E196C15765B,4.070780000000001,0.0,0.0,0.8,0.0,0.0
2491,991FB9A2CA1AC4A695501978736C8377,250.57878,244.15480000000002,28.423840000000002,18.3,13.8,2.4
2492,992755E2B46D543216B2C190CDD24628,0.42713999999999996,0.0,0.0,0.5,0.0,0.0
2493,9956E3F337236E54044578BF8E997B39,860.9214,0.0,0.0,68.6,0.0,0.0
2494,995A32F909A20F7C1F24409C00ACA9BC,8.871500000000001,0.0,0.0,2.1,0.0,0.0
2495,996BFCC8AEDA50CDD57F567BA2FF3E17,38.86564,0.0,0.0,1.2,0.0,0.0
2496,9970DA93D9DBA1F8D6700EC210165C80,194.62588999999997,0.0,0.0,15.2,0.0,0.0
2497,99721E0878DBBB05C3A246B1A411F602,10.505859999999998,0.0,0.0,11.2,0.0,0.0
2498,99772FFC8BF6E2BA27D6C45ABE496691,3.466980000000001,0.0,0.0,11.0,0.0,0.0
2499,99834C42FFF979CE33FEF201D7C2A189,57.54833,162.14295999999996,0.0,22.7,43.2,0.0
2500,9983B1674B433A78DF847F98472C07E4,32.32461,0.0,0.0,3.7,0.0,0.0
2501,9992C2D38C9647C9962FA5B3307B646C,294.21317,0.0,0.0,18.9,0.0,0.0
2502,99A2A9990B171FD0BDA2DB039EA330FF,644.5550300000001,844.50139,0.0,137.4,111.7,0.0
2503,99D3F508C23B81C109821DEDEDE4F654,362.6044800000001,0.0,0.0,33.0,0.0,0.0
2504,99E1651A39AF1B98DDBE670BC309A649,1361.64066,0.0,0.0,62.9,0.0,0.0
2505,99E318DD71E849D5737BC47BB81B4FF3,927.2560500000003,0.0,0.0,90.0,0.0,0.0
2506,99F0A791867BE63A22D865B4188AEEE2,3059.67273,593.27142,0.0,217.7,61.2,0.0
2507,99F304F8EE52F1438C175BF98F08F0F1,49.33571,0.0,0.0,22.4,0.0,0.0
2508,9A02F035353764D06F0E17B75269F371,29.98965,0.0,0.0,1.6,0.0,0.0
2509,9A155B2AE0C49D4CC3C442EF6146DE2B,0.645,0.0,0.0,0.3,0.0,0.0
